Date,RSL
1880-04-15,-183.3140625
1880-07-15,-183.2473958
1880-10-15,-174.1473958
1881-01-15,-159.6807292
1881-04-15,-172.4140625
1881-07-15,-174.0140625
1881-10-15,-186.0473958
1882-01-15,-189.4807292
1882-04-15,-184.2140625
1882-07-15,-190.0807292
1882-10-15,-202.5473958
1883-01-15,-204.3807292
1883-04-15,-192.4807292
1883-07-15,-185.1473958
1883-10-15,-179.8140625
1884-01-15,-166.6140625
1884-04-15,-158.9807292
1884-07-15,-166.2807292
1884-10-15,-174.5140625
1885-01-15,-173.3473958
1885-04-15,-166.6140625
1885-07-15,-167.6807292
1885-10-15,-166.5807292
1886-01-15,-171.1140625
1886-04-15,-164.0807292
1886-07-15,-164.2140625
1886-10-15,-178.9807292
1887-01-15,-184.1807292
1887-04-15,-180.7807292
1887-07-15,-170.2140625
1887-10-15,-171.8807292
1888-01-15,-175.8807292
1888-04-15,-177.7140625
1888-07-15,-172.6140625
1888-10-15,-170.4140625
1889-01-15,-171.0807292
1889-04-15,-167.9807292
1889-07-15,-169.7140625
1889-10-15,-177.1473958
1890-01-15,-176.5473958
1890-04-15,-160.7140625
1890-07-15,-166.9807292
1890-10-15,-175.2807292
1891-01-15,-186.4807292
1891-04-15,-171.0140625
1891-07-15,-167.7140625
1891-10-15,-168.2140625
1892-01-15,-167.5473958
1892-04-15,-163.4140625
1892-07-15,-167.5807292
1892-10-15,-176.0807292
1893-01-15,-170.8140625
1893-04-15,-160.8473958
1893-07-15,-162.9807292
1893-10-15,-164.4807292
1894-01-15,-170.0807292
1894-04-15,-173.2140625
1894-07-15,-176.8807292
1894-10-15,-177.0140625
1895-01-15,-161.1140625
1895-04-15,-166.0473958
1895-07-15,-163.1473958
1895-10-15,-158.7473958
1896-01-15,-171.4473958
1896-04-15,-172.8807292
1896-07-15,-160.3140625
1896-10-15,-169.8473958
1897-01-15,-173.3807292
1897-04-15,-162.4807292
1897-07-15,-152.1473958
1897-10-15,-168.9473958
